Column Name,Variable Type,Variable Desciption,Note 
SEDATION/ANAESTHESIA,Treatment,Whether a patient received this procedure,
ANTICONVULSAN_DATE,Treatment,Whether anticonvulsants drug was received,
INOTROPES/VASOSUPRESSORS,Treatment,Whether a patient received Vasopressors or inotropes ,
BLOOD PRODUCTS IN FIRST 24 HOURS_FLUID_TNSTYPE,Treatment,Type of blood product received,
BLOOD PRODUCTS IN FIRST 24 HOURS_FLUID_UNITS,Treatment,Number of unit blood product received,
THORACOSTOMY,Treatment,Whether a patient received this procedure,
OPERATIVE PROCEDURE_PROC,Treatment,Type of operations,
OPERATIVE PROCEDURE_SURG_GRD,Treatment,Surgeon grade,
OPERATIVE PROCEDURE_ANTH_GRD,Treatment,Aesthetician grade,
OPERATIVE PROCEDURE_SURG_SPEC,Treatment,General surgery grade,
ASSESS_CTS_BODYAREA,Investigation,The Area of the body examined with the CT scan,
WARMING,Treatment,Whether a patient received this procedure,
SubmissionID,Generic,Automatically generated unique 12 digit identifier,
ISS_y,Injury,Injury Severity Score,
Head,Injury,Abbreviated Injury Scale (AIS),
Face,Injury,Abbreviated Injury Scale (AIS),
Chest,Injury,Abbreviated Injury Scale (AIS),
Abdomen,Injury,Abbreviated Injury Scale (AIS),
Pelvis,Injury,Abbreviated Injury Scale (AIS),
Spine,Injury,Abbreviated Injury Scale (AIS),
Limb,Injury,Abbreviated Injury Scale (AIS),
Other,Injury,Abbreviated Injury Scale (AIS),
Combine_Outcome,Outcome,Outcome status (Alive/Dead) combined from DIS_OUT_STATUS from 2 locations,
CAPTIME_REVISED_IsMoreThan2,Physiology,Whether cap refill is more than 2 seconds,
lsi_lerner_time,LSI,Whether a patient was classed as urgent (P1/P4/Dead/Non-P1),
lsicount_lerner_time,LSI,Number of Life Saving Intervention Recevied,
Has_Lerner_LSI_5_Lerner_time,LSI,Whether a patient received airway LSI,
lsi_peads,LSI,Whether a patient was classed as urgent in children under 16s (P1/P4/Dead/Non-P1),
lsicount_peads,LSI,Number of Life Saving Intervention Recevied in children under 16s ,
Has_Lerner_LSI_5_Lerner_time_peads,LSI,Whether a patient received airway LSI in  children under 16s ,
Received Airway/Breathing Support,Treatment,"Whether or not the patient had: ASSESS_AIRWAYS_VAL = Supported, Obstructed, Intubated, Cricothyroidotomy, Tracheostomy. AIRWAY SUPPORT = Intubation, Cricothyroidotomy, Tracheostomy. BREATHING SUPPORT = Mechanical ventilation, cpap, bipap.",
Conflicting Cap Refill Values,Physiology,Whether ASSESS_CREFILL)NORM and CAPTIME_REVISED_IsMoreThan2 are conflicting,
CC_Arrived,Outcome,True or False depending on if there a date in CCARE_ARV_DATE,
CC_Departed,Outcome,True or False depending on if there a date in CCARE_DEP_DATE,
CC_Summary,Outcome,"Merged factor containing CC_Arrived, CC_Departed, CC_Stay",
ISS_15andOver,Injury,True or False depending on if ISS score ≥15,
P1_T_or_F,LSI,True or False depending if lsi_lerner_time is P1 or not,
